symbol,trades,total_pnl_usd,avg_pnl_usd
BONK,11,51453.70313594071,4677.60937599461
PEPE,9,33169.871635594,3685.5412928437777
SHIB,11,25333.163087408084,2303.014826128008
XLM,10,18523.709792691356,1852.3709792691357
ALGO,9,18348.017210681675,2038.6685789646306
DOGE,10,17351.295949546024,1735.1295949546025
CRO,9,16227.35792518145,1803.0397694646056
CRV,9,14679.92075454562,1631.1023060606244
NEAR,10,11013.807809800988,1101.3807809800987
DEXE,10,10487.868707872929,1048.7868707872929
TKX,7,10381.110946696355,1483.0158495280507
BGB,10,10240.108046112897,1024.0108046112896
SUI,11,9257.816509515043,841.6196826831857
TAO,10,8304.64563327044,830.4645633270441
ONDO,6,8122.210515230672,1353.7017525384454
RENDER,8,7931.51401311924,991.439251639905
STX,9,7912.507922879025,879.1675469865582
AAVE,11,7714.732814104211,701.3393467367464
FET,7,7394.6645817471,1056.3806545353
VET,11,6878.734346646605,625.3394860587823
IMX,8,6826.711816158737,853.3389770198421
AVAX,12,6416.192097297007,534.6826747747506
EOS,8,6153.881136824357,769.2351421030446
ICP,7,6125.022429976051,875.003204282293
BCH,13,5970.021488801455,459.23242221549657
ADA,9,5937.334448503667,659.7038276115186
KCS,14,5923.831337561087,423.1308098257919
XDC,9,5855.6107011957765,650.6234112439752
DOT,8,5239.706312507196,654.9632890633995
KAS,9,4338.404707904121,482.04496754490236
WBT,7,4147.8087256467115,592.5441036638159
WLD,8,3557.4992231890046,444.6874028986256
NEXO,10,3552.1500931683013,355.2150093168301
LEO,8,3423.1371900707095,427.8921487588387
MKR,8,3400.5615703895983,425.0701962986998
ARB,10,3203.3999128217456,320.33999128217454
MNT,9,3192.1591408419017,354.6843489824335
OKB,10,3191.5343026777864,319.1534302677786
QNT,10,3187.024822772435,318.7024822772435
BNSOL,3,3162.130072975461,1054.0433576584871
BTC,4,3027.4561270543672,756.8640317635918
INJ,9,2683.9103956334616,298.21226618149575
SOL,8,2547.1377221050684,318.39221526313355
XMR,8,2372.571387687055,296.5714234608819
TIA,7,2329.3563897066915,332.76519852952737
GT,13,2324.0872673447147,178.77594364190114
WSTETH,8,2305.4537342049302,288.1817167756163
BNB,9,2132.791688660498,236.9768542956109
OP,11,2056.1080860634456,186.9189169148587
ETH,8,2046.9953614022013,255.87442017527516
LINK,8,2037.6814024242176,254.7101753030272
HBAR,9,1993.2693624041465,221.47437360046072
APT,9,1829.3626085585079,203.26251206205643
JUP,5,1792.983789803136,358.5967579606272
JLP,5,1732.3109264317068,346.46218528634137
XRP,12,1596.9240846288826,133.07700705240688
FIL,11,1472.8683032298902,133.89711847544456
FARTCOIN,3,1250.1712527163518,416.7237509054506
GRT,10,1115.1291075889335,111.51291075889336
POL,8,1082.9183586079805,135.36479482599756
TON,10,1063.580672274842,106.35806722748421
SEI,12,909.1762774590603,75.76468978825503
ETC,13,697.3447665697154,53.64190512074734
PAXG,7,390.0878539993587,55.72683628562267
STETH,8,287.5118126362255,35.93897657952819
XAUT,9,282.2136770051417,31.35707522279352
CBBTC,2,274.93829609761644,137.46914804880822
FLR,13,196.45219461718807,15.111707278245236
FTN,12,143.33317154612814,11.944430962177345
SUSDE,5,112.89802003304598,22.579604006609195
SUSDS,2,12.541825373610116,6.270912686805058
USDE,10,3.7958962922720283,0.37958962922720285
DAI,9,-15.676585982544323,-1.7418428869493692
PYUSD,5,-36.721873844308234,-7.3443747688616465
USDS,5,-58.82322628779635,-11.76464525755927
BSC-USD,5,-237.68608454454477,-47.53721690890895
WEETH,7,-254.95324344879702,-36.421891921256716
ATOM,7,-389.33099825221666,-55.61871403603095
HYPE,1,-716.659754863147,-716.659754863147
ENA,4,-820.5545004283614,-205.13862510709035
LTC,8,-950.0193178675879,-118.75241473344849
RSETH,7,-1033.1374367943067,-147.59106239918668
TRX,6,-1634.1706530824556,-272.3617755137426
UNI,10,-4282.424913084852,-428.2424913084852
